"...1","placekey","region","sub_category","category_tags","visitor_home_cbg","count"
1791637,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374087231",4
1791638,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060375004042",4
1791639,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374075022",4
1791640,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060372041201",4
1791641,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060710005011",4
1791642,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","061110058022",4
1791643,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374085052",4
1791644,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374081392",4
1791645,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060591100032",4
1791646,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374075023",4
1791647,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374077023",4
1791648,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374047021",4
1791649,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374086281",4
1791650,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374814011",4
1791651,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374073014",4
1791652,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374087041",4
1791653,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060710017021",4
1791654,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374081351",4
1791655,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060650481001",4
1791656,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060375027002",4
1791657,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374082112",4
1791658,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060371274001",4
1791659,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374003042",4
1791660,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374034021",4
1791661,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374046002",4
1791662,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","061110014012",4
1791663,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374072003",4
1791664,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374081333",4
1791665,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374080061",4
1791666,"restaurant_75","CA","Limited-Service Restaurants","Breakfast,Burgers,Counter Service,Dinner,Drive Through,Fast Food,Lunch","060374068002",4
1894754,"restaurant_66","NY","Full-Service Restaurants","Steak House","361130780002",6
